family_id,assigned_day
0,64
1,26
2,100
3,2
4,93
5,35
6,88
7,25
8,18
9,88
10,92
11,19
12,98
13,54
14,45
15,22
16,46
17,79
18,75
19,3
20,68
21,56
22,61
23,16
24,28
25,16
26,58
27,38
28,27
29,89
30,68
31,74
32,91
33,32
34,46
35,98
36,82
37,15
38,13
39,10
40,25
41,92
42,81
43,11
44,49
45,5
46,15
47,45
48,79
49,33
50,50
51,28
52,76
53,37
54,70
55,91
56,80
57,92
58,74
59,39
60,98
61,18
62,1
63,31
64,3
65,57
66,82
67,94
68,89
69,5
70,32
71,11
72,66
73,10
74,82
75,53
76,46
77,20
78,52
79,37
80,18
81,17
82,99
83,77
84,9
85,28
86,29
87,25
88,57
89,23
90,54
91,54
92,85
93,39
94,73
95,24
96,77
97,96
98,3
99,23
100,39
101,77
102,31
103,76
104,85
105,45
106,34
107,12
108,34
109,75
110,67
111,68
112,60
113,37
114,15
115,22
116,77
117,94
118,69
119,4
120,56
121,17
122,14
123,95
124,14
125,47
126,3
127,2
128,56
129,17
130,16
131,81
132,76
133,54
134,18
135,5
136,88
137,82
138,59
139,89
140,61
141,89
142,26
143,38
144,28
145,18
146,64
147,28
148,63
149,61
150,72
151,3
152,88
153,35
154,61
155,100
156,95
157,87
158,2
159,3
160,40
161,47
162,68
163,84
164,18
165,97
166,14
167,86
168,19
169,84
170,12
171,24
172,21
173,68
174,94
175,89
176,52
177,74
178,80
179,2
180,40
181,7
182,94
183,17
184,47
185,64
186,50
187,43
188,20
189,51
190,9
191,54
192,77
193,56
194,95
195,55
196,26
197,59
198,81
199,51
200,83
201,35
202,23
203,38
204,56
205,99
206,28
207,47
208,10
209,9
210,23
211,67
212,10
213,52
214,31
215,94
216,43
217,80
218,38
219,68
220,1
221,17
222,36
223,60
224,84
225,61
226,59
227,49
228,87
229,48
230,57
231,48
232,47
233,87
234,82
235,53
236,37
237,66
238,19
239,14
240,57
241,60
242,60
243,64
244,76
245,4
246,50
247,9
248,22
249,75
250,7
251,75
252,18
253,73
254,63
255,12
256,93
257,43
258,92
259,100
260,37
261,67
262,21
263,48
264,30
265,11
266,32
267,74
268,39
269,30
270,67
271,73
272,43
273,38
274,8
275,15
276,79
277,64
278,78
279,38
280,89
281,22
282,89
283,73
284,20
285,66
286,54
287,8
288,63
289,66
290,56
291,93
292,66
293,67
294,46
295,10
296,39
297,48
298,19
299,32
300,5
301,70
302,4
303,27
304,86
305,58
306,2
307,1
308,47
309,19
310,64
311,59
312,43
313,93
314,39
315,45
316,53
317,63
318,49
319,5
320,7
321,56
322,82
323,48
324,33
325,3
326,26
327,46
328,10
329,19
330,82
331,17
332,14
333,23
334,22
335,68
336,50
337,18
338,74
339,45
340,13
341,58
342,54
343,89
344,23
345,66
346,94
347,59
348,5
349,19
350,96
351,27
352,93
353,94
354,87
355,85
356,33
357,25
358,93
359,22
360,55
361,87
362,81
363,16
364,99
365,4
366,93
367,17
368,26
369,72
370,13
371,93
372,96
373,61
374,75
375,6
376,26
377,82
378,25
379,4
380,69
381,27
382,48
383,42
384,73
385,29
386,66
387,39
388,32
389,54
390,40
391,75
392,16
393,36
394,11
395,8
396,75
397,52
398,37
399,5
400,64
401,52
402,25
403,17
404,48
405,78
406,3
407,68
408,21
409,81
410,81
411,91
412,25
413,62
414,8
415,24
416,96
417,10
418,32
419,26
420,99
421,87
422,83
423,74
424,92
425,30
426,33
427,24
428,85
429,2
430,66
431,12
432,28
433,61
434,62
435,1
436,39
437,38
438,25
439,18
440,39
441,33
442,29
443,14
444,26
445,100
446,27
447,94
448,99
449,23
450,60
451,33
452,87
453,83
454,11
455,3
456,94
457,70
458,46
459,66
460,30
461,27
462,80
463,18
464,46
465,2
466,36
467,24
468,54
469,93
470,17
471,79
472,63
473,56
474,22
475,33
476,56
477,42
478,5
479,34
480,78
481,13
482,30
483,78
484,26
485,30
486,62
487,71
488,40
489,16
490,28
491,73
492,95
493,16
494,95
495,56
496,63
497,16
498,45
499,46
500,27
501,21
502,56
503,22
504,81
505,16
506,38
507,47
508,35
509,37
510,82
511,43
512,37
513,64
514,68
515,14
516,17
517,60
518,24
519,9
520,56
521,66
522,98
523,98
524,74
525,98
526,59
527,16
528,68
529,25
530,69
531,45
532,56
533,26
534,14
535,12
536,91
537,23
538,83
539,9
540,31
541,60
542,22
543,53
544,56
545,79
546,51
547,60
548,88
549,44
550,48
551,19
552,35
553,35
554,53
555,10
556,26
557,94
558,18
559,78
560,18
561,20
562,64
563,47
564,82
565,91
566,45
567,96
568,99
569,94
570,11
571,98
572,62
573,71
574,63
575,94
576,81
577,31
578,18
579,11
580,49
581,42
582,20
583,35
584,87
585,3
586,67
587,40
588,51
589,74
590,90
591,55
592,40
593,23
594,61
595,69
596,88
597,81
598,47
599,43
600,15
601,2
602,12
603,58
604,15
605,56
606,76
607,81
608,94
609,91
610,51
611,57
612,90
613,67
614,61
615,58
616,44
617,80
618,2
619,42
620,79
621,95
622,99
623,75
624,78
625,47
626,33
627,3
628,1
629,62
630,95
631,10
632,33
633,10
634,70
635,30
636,80
637,40
638,26
639,30
640,43
641,81
642,73
643,74
644,19
645,98
646,48
647,57
648,38
649,65
650,47
651,46
652,16
653,92
654,10
655,97
656,7
657,48
658,35
659,69
660,38
661,63
662,1
663,6
664,24
665,34
666,48
667,64
668,10
669,61
670,18
671,91
672,44
673,90
674,76
675,64
676,4
677,95
678,32
679,23
680,27
681,61
682,15
683,40
684,26
685,46
686,18
687,51
688,88
689,67
690,38
691,8
692,13
693,8
694,96
695,8
696,69
697,85
698,10
699,35
700,14
701,8
702,7
703,66
704,60
705,14
706,95
707,69
708,74
709,39
710,39
711,14
712,36
713,25
714,10
715,58
716,49
717,66
718,31
719,32
720,8
721,34
722,49
723,92
724,81
725,69
726,18
727,3
728,6
729,32
730,17
731,68
732,10
733,1
734,8
735,17
736,79
737,86
738,97
739,65
740,61
741,81
742,99
743,11
744,41
745,91
746,60
747,25
748,46
749,65
750,96
751,71
752,4
753,30
754,36
755,12
756,61
757,73
758,22
759,97
760,23
761,48
762,76
763,62
764,49
765,32
766,16
767,82
768,87
769,44
770,25
771,45
772,62
773,2
774,6
775,99
776,1
777,46
778,3
779,67
780,77
781,9
782,67
783,52
784,64
785,73
786,96
787,6
788,15
789,52
790,59
791,5
792,64
793,100
794,99
795,30
796,81
797,77
798,45
799,3
800,57
801,29
802,13
803,19
804,57
805,38
806,49
807,31
808,52
809,2
810,69
811,75
812,95
813,78
814,27
815,1
816,54
817,53
818,56
819,69
820,90
821,36
822,34
823,35
824,60
825,89
826,28
827,5
828,80
829,70
830,36
831,8
832,41
833,46
834,56
835,17
836,31
837,69
838,94
839,12
840,16
841,10
842,69
843,90
844,81
845,39
846,47
847,95
848,39
849,59
850,95
851,13
852,31
853,55
854,14
855,51
856,12
857,11
858,60
859,83
860,55
861,57
862,85
863,82
864,4
865,19
866,68
867,3
868,76
869,11
870,53
871,100
872,81
873,57
874,23
875,35
876,5
877,49
878,4
879,65
880,53
881,4
882,77
883,1
884,33
885,6
886,81
887,83
888,25
889,99
890,65
891,79
892,62
893,63
894,78
895,44
896,29
897,84
898,73
899,67
900,73
901,7
902,19
903,19
904,98
905,5
906,73
907,34
908,63
909,52
910,46
911,10
912,91
913,18
914,94
915,55
916,81
917,60
918,11
919,68
920,26
921,31
922,100
923,96
924,43
925,71
926,33
927,74
928,86
929,69
930,2
931,35
932,12
933,84
934,38
935,8
936,71
937,57
938,92
939,37
940,31
941,23
942,57
943,82
944,87
945,74
946,72
947,28
948,38
949,1
950,20
951,88
952,54
953,73
954,80
955,63
956,66
957,16
958,24
959,42
960,50
961,53
962,88
963,33
964,1
965,61
966,59
967,40
968,2
969,93
970,97
971,13
972,90
973,82
974,44
975,76
976,41
977,7
978,59
979,19
980,38
981,12
982,14
983,96
984,2
985,44
986,82
987,87
988,11
989,62
990,50
991,75
992,54
993,46
994,39
995,35
996,57
997,50
998,3
999,80
1000,25
1001,25
1002,46
1003,29
1004,29
1005,31
1006,56
1007,12
1008,73
1009,75
1010,46
1011,24
1012,67
1013,38
1014,52
1015,17
1016,17
1017,29
1018,16
1019,75
1020,60
1021,75
1022,73
1023,60
1024,54
1025,71
1026,18
1027,70
1028,13
1029,41
1030,59
1031,94
1032,5
1033,52
1034,17
1035,40
1036,25
1037,66
1038,94
1039,66
1040,23
1041,96
1042,15
1043,16
1044,68
1045,73
1046,63
1047,15
1048,17
1049,31
1050,81
1051,59
1052,33
1053,84
1054,98
1055,62
1056,57
1057,72
1058,98
1059,40
1060,23
1061,65
1062,99
1063,70
1064,75
1065,88
1066,2
1067,70
1068,70
1069,25
1070,49
1071,94
1072,59
1073,29
1074,54
1075,8
1076,26
1077,14
1078,54
1079,59
1080,72
1081,68
1082,80
1083,96
1084,62
1085,71
1086,20
1087,22
1088,88
1089,60
1090,91
1091,56
1092,33
1093,67
1094,19
1095,19
1096,26
1097,55
1098,16
1099,34
1100,7
1101,68
1102,56
1103,74
1104,3
1105,45
1106,8
1107,75
1108,25
1109,5
1110,90
1111,100
1112,67
1113,18
1114,11
1115,31
1116,91
1117,7
1118,73
1119,34
1120,33
1121,64
1122,64
1123,51
1124,84
1125,26
1126,21
1127,68
1128,14
1129,79
1130,24
1131,24
1132,28
1133,89
1134,59
1135,67
1136,32
1137,93
1138,10
1139,42
1140,52
1141,71
1142,68
1143,87
1144,3
1145,55
1146,81
1147,47
1148,26
1149,59
1150,23
1151,25
1152,19
1153,17
1154,99
1155,75
1156,96
1157,15
1158,92
1159,17
1160,96
1161,60
1162,17
1163,99
1164,44
1165,79
1166,36
1167,76
1168,17
1169,47
1170,16
1171,80
1172,2
1173,51
1174,40
1175,60
1176,54
1177,52
1178,2
1179,69
1180,11
1181,56
1182,16
1183,90
1184,92
1185,52
1186,2
1187,75
1188,4
1189,94
1190,4
1191,75
1192,7
1193,4
1194,47
1195,43
1196,67
1197,5
1198,50
1199,16
1200,16
1201,46
1202,65
1203,87
1204,56
1205,72
1206,33
1207,26
1208,43
1209,74
1210,100
1211,49
1212,88
1213,50
1214,100
1215,94
1216,91
1217,41
1218,62
1219,39
1220,84
1221,80
1222,5
1223,31
1224,8
1225,19
1226,10
1227,18
1228,70
1229,21
1230,40
1231,87
1232,67
1233,45
1234,52
1235,86
1236,82
1237,43
1238,96
1239,50
1240,33
1241,77
1242,14
1243,58
1244,94
1245,80
1246,2
1247,79
1248,56
1249,65
1250,13
1251,29
1252,4
1253,72
1254,37
1255,89
1256,10
1257,64
1258,60
1259,70
1260,38
1261,68
1262,60
1263,91
1264,98
1265,83
1266,37
1267,23
1268,54
1269,66
1270,54
1271,95
1272,89
1273,27
1274,87
1275,5
1276,7
1277,49
1278,82
1279,57
1280,9
1281,76
1282,62
1283,29
1284,2
1285,70
1286,97
1287,91
1288,3
1289,70
1290,52
1291,34
1292,35
1293,67
1294,75
1295,95
1296,3
1297,61
1298,77
1299,11
1300,40
1301,9
1302,27
1303,80
1304,56
1305,65
1306,22
1307,60
1308,58
1309,57
1310,46
1311,45
1312,72
1313,56
1314,26
1315,31
1316,89
1317,57
1318,78
1319,43
1320,54
1321,19
1322,52
1323,72
1324,92
1325,23
1326,86
1327,14
1328,85
1329,5
1330,90
1331,92
1332,82
1333,53
1334,55
1335,71
1336,43
1337,78
1338,85
1339,77
1340,23
1341,63
1342,88
1343,34
1344,19
1345,32
1346,28
1347,5
1348,30
1349,54
1350,21
1351,81
1352,33
1353,76
1354,14
1355,54
1356,49
1357,82
1358,38
1359,64
1360,98
1361,3
1362,83
1363,99
1364,41
1365,91
1366,14
1367,2
1368,26
1369,93
1370,43
1371,85
1372,75
1373,49
1374,2
1375,41
1376,94
1377,18
1378,73
1379,23
1380,80
1381,52
1382,3
1383,69
1384,59
1385,71
1386,10
1387,5
1388,63
1389,74
1390,42
1391,74
1392,53
1393,29
1394,99
1395,17
1396,90
1397,2
1398,73
1399,59
1400,22
1401,72
1402,61
1403,23
1404,27
1405,53
1406,90
1407,44
1408,31
1409,95
1410,53
1411,54
1412,86
1413,1
1414,65
1415,18
1416,3
1417,73
1418,42
1419,9
1420,59
1421,23
1422,59
1423,2
1424,51
1425,90
1426,43
1427,32
1428,32
1429,63
1430,20
1431,49
1432,33
1433,100
1434,16
1435,68
1436,69
1437,47
1438,7
1439,69
1440,23
1441,37
1442,12
1443,73
1444,81
1445,46
1446,7
1447,11
1448,89
1449,51
1450,66
1451,50
1452,28
1453,73
1454,10
1455,58
1456,24
1457,88
1458,78
1459,53
1460,2
1461,58
1462,15
1463,27
1464,57
1465,87
1466,64
1467,76
1468,100
1469,13
1470,33
1471,48
1472,94
1473,60
1474,19
1475,94
1476,4
1477,97
1478,65
1479,78
1480,23
1481,90
1482,33
1483,85
1484,73
1485,67
1486,69
1487,74
1488,30
1489,40
1490,62
1491,97
1492,41
1493,41
1494,46
1495,81
1496,49
1497,20
1498,96
1499,64
1500,46
1501,74
1502,84
1503,12
1504,17
1505,66
1506,19
1507,18
1508,51
1509,32
1510,5
1511,28
1512,48
1513,14
1514,95
1515,77
1516,4
1517,8
1518,27
1519,75
1520,48
1521,20
1522,84
1523,90
1524,11
1525,52
1526,86
1527,79
1528,96
1529,53
1530,74
1531,96
1532,47
1533,66
1534,52
1535,18
1536,97
1537,49
1538,16
1539,52
1540,99
1541,56
1542,22
1543,16
1544,69
1545,80
1546,91
1547,47
1548,59
1549,25
1550,75
