generation,fitness_value
0,2354065.230735926
1,2354065.230735926
2,2206569.836989375
3,1910997.6820103186
4,1715317.0593736952
5,1715317.0593736952
6,1715317.0593736952
7,1715317.0593736952
8,1715317.0593736952
9,1715317.0593736952
10,1715317.0593736952
11,1715317.0593736952
12,1715317.0593736952
13,1715317.0593736952
14,1715317.0593736952
15,1715317.0593736952
16,1715317.0593736952
17,1715317.0593736952
18,1715317.0593736952
19,1715317.0593736952
20,1715317.0593736952
21,1715317.0593736952
22,1715317.0593736952
23,1715317.0593736952
24,1715317.0593736952
