generation,mean,standard_deviation,min_value,max_value
0,9048334.622920921,3981269.506826871,1763867.1303385713,18507162.14623173
1,2845594.540700637,1042962.7014427567,1763867.1303385713,5921940.158978668
2,3166741.4129392593,10183068.328197014,1738807.437002149,102198403.71806645
3,2008852.4363749968,543072.6177892325,1738807.437002149,3686765.5494306916
4,1830175.0356977377,328212.9009288778,1652356.981558288,3686765.5494306916
5,1758475.284426529,71776.99886054141,1652356.981558288,2419509.308270341
6,1739844.897037278,84457.50578783284,1077325.4197952598,1763867.1303385713
7,2640144.3322709966,10395071.986495016,1077325.4197952598,102298919.99533156
8,1351644.0328069283,332632.1062831756,1077325.4197952598,1763867.1303385713
9,1400337.9414611324,370617.3274836066,1077325.4197952598,2682844.076609083
10,2449085.574198019,10345476.077090241,1077325.4197952598,104804314.77966253
11,2421588.8145737387,10086266.569095593,1077325.4197952598,102718015.70072249
12,1446168.997437166,383716.23304442485,1077325.4197952598,2609244.494188868
13,1408381.2653546557,337157.71685881115,1077325.4197952598,1763867.1303385713
14,3531269.823510483,20288023.66152943,1077325.4197952598,201247287.9715074
15,1359301.362327068,337287.9468298947,1077325.4197952598,1763867.1303385713
16,2485972.1531819184,10259384.375511384,1077325.4197952598,102378999.85991098
17,2496732.3312630435,10224990.635096293,1077325.4197952598,101558751.53312032
18,4488788.62370848,22602524.652539045,1077325.4197952598,203500899.70517138
19,2580487.315510384,10879161.71249936,1077325.4197952598,105732689.37012815
20,2348052.888194781,10033153.07662683,1077325.4197952598,102117920.56295459
21,4506353.340670161,17577489.864792746,1077325.4197952598,108906952.60571471
22,2436225.9969333652,10189898.590123698,1077325.4197952598,103735813.43640849
23,2542166.7078313474,10788750.393095732,1077325.4197952598,105965731.56566462
24,5468429.6136901,24339879.54200384,1077325.4197952598,201522998.39286453
