generation,individual,restriction_penalty,choice_penalty,accounting_penalty,fitness_value
0,0,0,333840,7248905.452597221,7582745.452597221
0,1,0,332400,11471793.717077296,11804193.717077296
0,2,0,310703,16877786.38249465,17188489.38249465
0,3,0,300567,26365533.266237028,26666100.266237028
0,4,300000000,768983,18221085.43870898,318990068.43870896
0,5,0,316820,4520275.76419147,4837095.76419147
0,6,200000000,785069,16903119.488906324,217688188.48890632
0,7,0,330674,6855144.923581755,7185818.923581755
0,8,0,328696,4345955.913224766,4674651.913224766
0,9,100000000,713634,31597386.811466604,132311020.8114666
0,10,0,284202,6977885.932271405,7262087.932271405
0,11,300000000,759334,23734351.739588927,324493685.7395889
0,12,0,333840,7248905.452597221,7582745.452597221
0,13,0,296878,35104590.56694061,35401468.56694061
0,14,0,305475,9451675.357130291,9757150.357130291
0,15,0,311368,12866888.23867628,13178256.23867628
0,16,0,295128,18272577.16568046,18567705.16568046
0,17,0,292693,15897534.30605876,16190227.30605876
0,18,0,296132,12854964.568040285,13151096.568040285
0,19,0,296878,35104590.56694061,35401468.56694061
0,20,0,301594,3319251.263187201,3620845.263187201
0,21,100000000,738638,27333857.208074324,128072495.20807433
0,22,0,295128,18272577.16568046,18567705.16568046
0,23,0,295128,18272577.16568046,18567705.16568046
0,24,0,330674,6855144.923581755,7185818.923581755
0,25,100000000,734990,4052561.7311848304,104787551.73118483
0,26,0,333756,2324749.4776249034,2658505.4776249034
0,27,0,303725,8297530.336152006,8601255.336152006
0,28,0,297069,10738443.624582393,11035512.624582393
0,29,0,314523,10116208.673956292,10430731.673956292
0,30,0,324405,3799229.996201673,4123634.996201673
0,31,0,311368,12866888.23867628,13178256.23867628
0,32,0,689185,15363866.688762696,16053051.688762696
0,33,0,709826,6078095.444459358,6787921.444459358
0,34,0,315046,8752274.41359983,9067320.41359983
0,35,100000000,733320,4142081.752173177,104875401.75217317
0,36,0,318252,6707498.5328929005,7025750.5328929005
0,37,0,322876,1405778.279673564,1728654.279673564
0,38,0,323349,7320405.43996832,7643754.43996832
0,39,0,306105,25263198.56222205,25569303.56222205
0,40,0,295687,21242682.159703188,21538369.159703188
0,41,0,285719,21138721.325671546,21424440.325671546
0,42,0,339425,6848710.50713366,7188135.50713366
0,43,0,317317,6039840.204983472,6357157.204983472
0,44,0,303366,32036959.180367056,32340325.180367056
0,45,0,296132,12854964.568040285,13151096.568040285
0,46,0,300902,11923659.525275871,12224561.525275871
0,47,0,336055,5869025.29861609,6205080.29861609
0,48,0,332400,11471793.717077296,11804193.717077296
0,49,0,328054,3263827.178552383,3591881.178552383
1,0,100000000,721424,7772533.483764817,108493957.48376481
1,1,0,333840,7248905.452597221,7582745.452597221
1,2,0,333756,2324749.4776249034,2658505.4776249034
1,3,0,316820,4520275.76419147,4837095.76419147
1,4,0,689185,15363866.688762696,16053051.688762696
1,5,0,311368,12866888.23867628,13178256.23867628
1,6,0,305475,9451675.357130291,9757150.357130291
1,7,0,311368,12866888.23867628,13178256.23867628
1,8,100000000,734990,4052561.7311848304,104787551.73118483
1,9,0,306105,25263198.56222205,25569303.56222205
1,10,100000000,740535,1556432.9170786755,102296967.91707867
1,11,0,301594,3319251.263187201,3620845.263187201
1,12,0,328696,4345955.913224766,4674651.913224766
1,13,0,301594,3319251.263187201,3620845.263187201
1,14,0,314523,10116208.673956292,10430731.673956292
1,15,0,295687,21242682.159703188,21538369.159703188
1,16,0,303725,8297530.336152006,8601255.336152006
1,17,0,339425,6848710.50713366,7188135.50713366
1,18,0,339425,6848710.50713366,7188135.50713366
1,19,100000000,763546,6276707.1319675045,107040253.1319675
1,20,0,709826,6078095.444459358,6787921.444459358
1,21,0,301594,3319251.263187201,3620845.263187201
1,22,0,332400,11471793.717077296,11804193.717077296
1,23,0,295687,21242682.159703188,21538369.159703188
1,24,0,328696,4345955.913224766,4674651.913224766
1,25,0,332400,11471793.717077296,11804193.717077296
1,26,0,303725,8297530.336152006,8601255.336152006
1,27,0,689185,15363866.688762696,16053051.688762696
1,28,0,317317,6039840.204983472,6357157.204983472
1,29,0,305475,9451675.357130291,9757150.357130291
2,0,0,301594,3319251.263187201,3620845.263187201
2,1,0,315046,8752274.41359983,9067320.41359983
2,2,0,721959,21562958.652190395,22284917.652190395
2,3,0,328696,4345955.913224766,4674651.913224766
2,4,0,339425,6848710.50713366,7188135.50713366
2,5,0,795337,25096491.967337936,25891828.967337936
2,6,0,729800,3944539.8209019583,4674339.820901958
2,7,0,301594,3319251.263187201,3620845.263187201
2,8,0,317317,6039840.204983472,6357157.204983472
2,9,0,697712,2027002.8020251105,2724714.8020251105
2,10,200000000,762533,29992906.399626303,230755439.3996263
2,11,0,305475,9451675.357130291,9757150.357130291
2,12,0,316820,4520275.76419147,4837095.76419147
2,13,0,322876,1405778.279673564,1728654.279673564
2,14,0,328696,4345955.913224766,4674651.913224766
2,15,0,323349,7320405.43996832,7643754.43996832
2,16,0,328696,4345955.913224766,4674651.913224766
2,17,0,333840,7248905.452597221,7582745.452597221
2,18,0,301594,3319251.263187201,3620845.263187201
2,19,0,339425,6848710.50713366,7188135.50713366
2,20,0,323349,7320405.43996832,7643754.43996832
2,21,0,322876,1405778.279673564,1728654.279673564
2,22,0,328696,4345955.913224766,4674651.913224766
2,23,0,323349,7320405.43996832,7643754.43996832
2,24,0,305475,9451675.357130291,9757150.357130291
2,25,0,323349,7320405.43996832,7643754.43996832
2,26,0,322876,1405778.279673564,1728654.279673564
2,27,0,301594,3319251.263187201,3620845.263187201
2,28,0,322876,1405778.279673564,1728654.279673564
2,29,0,332400,11471793.717077296,11804193.717077296
2,30,0,311368,12866888.23867628,13178256.23867628
3,0,0,322876,1405778.279673564,1728654.279673564
3,1,0,301594,3319251.263187201,3620845.263187201
3,2,0,339425,6848710.50713366,7188135.50713366
3,3,0,328054,3263827.178552383,3591881.178552383
3,4,0,322876,1405778.279673564,1728654.279673564
3,5,0,316820,4520275.76419147,4837095.76419147
3,6,100000000,774860,3323019.9664925756,104097879.96649258
3,7,0,316820,4520275.76419147,4837095.76419147
3,8,0,333840,7248905.452597221,7582745.452597221
3,9,0,322876,1405778.279673564,1728654.279673564
3,10,0,322876,1405778.279673564,1728654.279673564
3,11,0,328696,4345955.913224766,4674651.913224766
3,12,300000000,721013,2016667.7156535476,302737680.71565354
3,13,0,703295,2920094.5854414604,3623389.5854414604
3,14,0,328054,3263827.178552383,3591881.178552383
3,15,0,317317,6039840.204983472,6357157.204983472
3,16,0,323349,7320405.43996832,7643754.43996832
3,17,0,328696,4345955.913224766,4674651.913224766
3,18,100000000,740757,3058675.751875865,103799432.75187586
3,19,100000000,714052,4012371.6681150678,104726423.66811506
3,20,0,339425,6848710.50713366,7188135.50713366
3,21,0,322876,1405778.279673564,1728654.279673564
3,22,0,328054,3263827.178552383,3591881.178552383
3,23,0,328696,4345955.913224766,4674651.913224766
3,24,0,328696,4345955.913224766,4674651.913224766
3,25,0,322876,1405778.279673564,1728654.279673564
3,26,100000000,720455,815559.9485794248,101536014.94857943
3,27,0,322876,1405778.279673564,1728654.279673564
